condition,patch_dice_WT,heatmap_correlation,centroid_shift,high_saliency_WT_iou,available_gradcam
clean,0.861500869401857,1.0,0.0,0.23486489689649023,5
blur_L3,0.8101623311579091,0.7655370681222439,8.855573603311939,0.23240739627737036,5
blur_L4,0.7867770358450399,0.7188705005567508,9.93786886363143,0.22482208389810246,5
blur_L10,0.6466643922517086,0.5030974427966514,12.378030911450384,0.14744269568163024,5
ghosting_L4,0.837689802853693,0.7110614087293439,11.680982066828971,0.22903987836790987,5
ghosting_L5,0.7798690221755143,0.636412335694771,13.455221907701382,0.21640379592643097,5
ghosting_L10,0.4413036059603167,-0.033586967156722006,28.055700305643676,0.10217451965616112,5
noise_L6,0.7514341492395935,0.5400196083512807,10.424243396206538,0.30232891658775046,5
noise_L7,0.6157587965017571,0.4861417181285727,11.079300759339214,0.2559531255531058,5
noise_L10,0.0368188887446988,-0.03969027209646948,17.300398530171165,0.02458633624924315,4
ringing_L7,0.8355480138807774,0.7932644882755899,7.894719450736138,0.24612538131450162,5
ringing_L8,0.7726187540108334,0.7125866409319996,10.085144369548598,0.2468257808127043,5
ringing_L10,0.5675235338144398,0.06492952087209723,19.21121957596528,0.11199589158377514,5
contrast_L10,0.8633592544075637,0.8814855566242269,5.589456325884629,0.24388444232659268,5
