condition,n,patch_dice_WT_mean,patch_dice_WT_std,heatmap_correlation_mean,heatmap_correlation_std,centroid_shift_mean,centroid_shift_std,high_saliency_WT_iou_mean,high_saliency_WT_iou_std,inside_outside_ratio_mean,available_gradcam
clean,5,0.8808146242167112,0.12840742362038454,1.0,0.0,0.0,0.0,0.10119064701741572,0.06976985027581957,63.76688220330967,5
blur_L3,5,0.8617604180232303,0.12041581987126881,0.9506688780391531,0.03909000456533071,7.946810014359049,3.078677032185728,0.0650357335206359,0.04134006089089336,100.10547386989388,5
blur_L4,5,0.8361697201136439,0.13538537259556757,0.9247136315675644,0.04487349518500384,8.401149246014764,2.6314707056407283,0.0625814151690668,0.03827407797701186,77.0929112439978,5
blur_L10,5,0.6718699926079297,0.25146831485644583,0.7164991545529864,0.13257621977793624,14.403425841740193,6.988918321862364,0.09572696925096327,0.13736454539218595,40.528783938975145,5
ghosting_L4,5,0.8751386910035766,0.09232650916044807,0.929691306857727,0.0327224048657989,4.322747164190555,2.2411547254383892,0.17499152024957682,0.14041880464211662,51.91263819929382,5
ghosting_L5,5,0.8474192742990881,0.08501323700788242,0.8830698470206435,0.05987370592765471,7.1185747418178895,4.285289056837349,0.1630379147429657,0.15169229591168748,41.72696503101986,5
ghosting_L10,5,0.47032827394298227,0.17128070016591299,0.38852799860334186,0.0814943845626401,19.409139512861966,8.38548545634048,0.09689014735437138,0.1051556852491384,13.096226639204383,5
noise_L6,5,0.8764477371080179,0.130620138683978,0.9702719749989168,0.022124767949752513,3.7708390283431292,2.8833061844449994,0.09584147154649039,0.06589954609606789,52.25772013135497,5
noise_L7,5,0.8643239404583023,0.13292175798350486,0.9587160933374685,0.025233605966699133,4.748068733355023,2.4521008118807273,0.09546404334643685,0.06565819419534637,55.73399886961852,5
noise_L10,5,0.7662931621249431,0.18869927864907174,0.8499934799984903,0.1022626424951134,7.141377756721118,3.293000307647886,0.09379536836613203,0.0617629097969806,67.07800123500567,5
ringing_L7,5,0.8679549729134651,0.12226339614218136,0.9576018109835139,0.03754828087493604,7.269328459223901,4.636624772836371,0.06946982416843853,0.04766837709437929,125.52436782796693,5
ringing_L8,5,0.8217342492005748,0.14624703174590442,0.8965208496787815,0.07790552806668749,7.5247500122090525,2.3811912816296887,0.06341236281996088,0.039515981039640186,58.74572589573133,5
ringing_L10,5,0.5707742050857714,0.27301883059448206,0.5717865879030797,0.17972819467039466,13.946702349982331,6.013125237231442,0.1086410272319919,0.12660028267042778,22.899483159991867,5
contrast_L10,5,0.8924712389183933,0.1269384178043113,0.9899322148043266,0.01739762370559665,1.5967663939192493,1.3543275278538283,0.10118184744288214,0.07005739002186964,59.734293060126085,5
