level,num_patients,dice_WT,dice_TC,dice_ET,model,artifact,drop_dice_WT,drop_dice_TC,drop_dice_ET
10,74,0.5106561814076688,0.42351715671486423,0.39014783336198516,Custom 3D U-Net,blur,0.2521488185923312,0.22954584328513572,0.19928916663801483
10,74,0.4050602247851328,0.2776559162455514,0.17368564122240865,Custom 3D U-Net,ghosting,0.35774477521486714,0.37540708375444853,0.41575135877759134
10,74,0.44308075103329114,0.3936323190462788,0.34757361777937945,Custom 3D U-Net,noise,0.3197242489667088,0.2594306809537211,0.24186338222062054
10,74,0.7631186734370886,0.6566078317093587,0.5947559933069725,Custom 3D U-Net,contrast,-0.00031367343708865736,-0.003544831709358709,-0.005318993306972497
10,74,0.41928887375779406,0.3271788583955946,0.25539797557683613,Custom 3D U-Net,frequency_truncation,0.3435161262422059,0.3258841416044054,0.33403902442316386
10,74,0.7682253434912977,0.6747261183254317,0.5465031453097307,nnU-Net v2,blur,0.1442348566695324,0.2097117766147345,0.2720813888361929
10,74,0.4917890798128306,0.3486702702525583,0.2017000147651486,nnU-Net v2,ghosting,0.4206711203479994,0.5357676246876079,0.616884519380775
10,74,0.8362798843857316,0.8195473196912012,0.7187680348103048,nnU-Net v2,noise,0.0761803157750983,0.064890575248965,0.0998164993356187
10,74,0.9124998122252348,0.8583819292381878,0.7651234675609981,nnU-Net v2,contrast,-3.9612064404837e-05,0.0260559657019784,0.0534610665849254
10,74,0.624263276257373,0.5352897238188047,0.336403948385332,nnU-Net v2,frequency_truncation,0.2881969239034569,0.3491481711213615,0.4821805857605916
10,74,0.5937566335978335,0.5224513260965724,0.4818288102670882,Swin-UNETR,blur,0.3023945283040114,0.3245064332052217,0.2598746086253432
10,74,0.4028003035483289,0.2734966771955529,0.1844242228036567,Swin-UNETR,ghosting,0.4933508583535159,0.5734610821062412,0.5572791960887747
10,74,0.0224415444713569,0.0450144754857839,0.1005192284095842,Swin-UNETR,noise,0.8737096174304879,0.8019432838160102,0.6411841904828472
10,74,0.8957954510260382,0.8464883906973147,0.7402759966499368,Swin-UNETR,contrast,0.0003557108758067,0.0004693686044792,0.0014274222424946
10,74,0.451236200981152,0.3664185257089665,0.3144336540672819,Swin-UNETR,frequency_truncation,0.4449149609206928,0.4805392335928277,0.4272697648251494
