experiment,artifact,artifact_display,level,condition,mse_mean,mse_std,mse_median,psnr_mean,psnr_std,psnr_median,n_measurements,n_patients
blur_ghosting_extended_L6_L10,blur,Blur,6,blur_L6,0.013463327833419867,0.00449802518852738,0.013213620986789465,18.986159809328967,1.6480403573444524,18.789785785245535,296,74
blur_ghosting_extended_L6_L10,blur,Blur,7,blur_L7,0.015391726137258465,0.005059132761667171,0.014827896375209093,18.393055634302094,1.6071493148449547,18.289204799504315,296,74
blur_ghosting_extended_L6_L10,blur,Blur,8,blur_L8,0.017162276349326194,0.005563010923644142,0.016498996876180172,17.91048016038472,1.572463442487853,17.825461078315087,296,74
blur_ghosting_extended_L6_L10,blur,Blur,9,blur_L9,0.018809105498508574,0.006022006622245011,0.018102766945958138,17.50443035696539,1.542930113325061,17.422556079564714,296,74
blur_ghosting_extended_L6_L10,blur,Blur,10,blur_L10,0.020359837815064837,0.006447532228755305,0.01981239765882492,17.153582763000916,1.5179022236227384,17.0306304044672,296,74
blur_ghosting_extended_L6_L10,ghosting,Ghosting,6,ghosting_L6,0.027914800690612883,0.010089754652585764,0.02571648173034191,15.831136627794805,1.604494795232314,15.897886729278435,296,74
blur_ghosting_extended_L6_L10,ghosting,Ghosting,7,ghosting_L7,0.03722264698857593,0.013457067211694243,0.03429478965699673,14.581543737132014,1.6048660569431894,14.64772184038764,296,74
blur_ghosting_extended_L6_L10,ghosting,Ghosting,8,ghosting_L8,0.04789325178638604,0.017312400236870067,0.044138072058558464,13.48679436383372,1.6046505635885966,13.551869451541265,296,74
blur_ghosting_extended_L6_L10,ghosting,Ghosting,9,ghosting_L9,0.05383267071777703,0.019456054116299318,0.04962136782705784,12.97898399530985,1.6043944891669466,13.043315792786808,296,74
blur_ghosting_extended_L6_L10,ghosting,Ghosting,10,ghosting_L10,0.059850377703991695,0.02164603468556935,0.05517101101577282,12.519153117794566,1.605396233707367,12.58289514539749,296,74
