artifact,report_artifact,level,condition,parameters,degradation_pipeline,num_patients,dice_WT_mean,dice_WT_sd,dice_WT_drop_mean,dice_WT_drop_sd,iou_WT_mean,iou_WT_sd,iou_WT_drop_mean,iou_WT_drop_sd,dice_TC_mean,dice_TC_sd,dice_TC_drop_mean,dice_TC_drop_sd,iou_TC_mean,iou_TC_sd,iou_TC_drop_mean,iou_TC_drop_sd,dice_ET_mean,dice_ET_sd,dice_ET_drop_mean,dice_ET_drop_sd,iou_ET_mean,iou_ET_sd,iou_ET_drop_mean,iou_ET_drop_sd,pred_WT_voxels_mean,true_WT_voxels_mean,pred_WT_voxels_change_mean,inference_seconds_mean,degradation_seconds_mean,mse_mean,mse_std,mse_median,psnr_mean,psnr_std,psnr_median,n_measurements,n_patients,dice_threshold_crossed,iou_threshold_crossed,break_threshold_crossed
blur,Blur,1,blur_L1,"{""sigma"": 0.5}",script26a_restored_original_range,74,0.8868139069145576,0.0773997137538668,0.0093372549872871,0.0351080956996163,0.8045191219391212,0.1151876564626226,0.0140373125912367,0.0488865618689724,0.8386384143546031,0.1513534144605105,0.008319344947191,0.0688637773687623,0.7458957866914947,0.1870447927329847,0.0103709885450595,0.0725803022732634,0.7271192963276024,0.2625101048898569,0.0145841225648289,0.0333807806079919,0.6237956414016285,0.2627219409877584,0.0199974742555624,0.0400555565244913,103663.5945945946,99706.22972972972,5982.1621621621625,3.9271096074450256,1.0305097672484211,0.0005571241416062,0.0002501564599926,0.0005200219165999,33.01556794353227,2.141971273209943,32.83978732676309,296,74,False,False,False
blur,Blur,2,blur_L2,"{""sigma"": 1.0}",script26a_restored_original_range,74,0.8421999249741082,0.1378814633380852,0.0539512369277366,0.1063141076460657,0.7474206820904739,0.1723400783712429,0.0711357524398839,0.1195447786494919,0.8024302534607342,0.1701900255228715,0.0445275058410599,0.1006961102470765,0.6980822253776151,0.2027494457167134,0.058184549858939,0.1087533612164417,0.6858135891948262,0.2580013774862618,0.0558898296976051,0.0595595456064982,0.5699092702868322,0.2522251100754791,0.0738838453703586,0.0728495722062876,113779.77027027028,99706.22972972972,16098.337837837838,3.919106790946948,1.1334356424725942,0.0036110331860293,0.0014749375016168,0.003463351749815,24.8282538631119,1.987676258242996,24.605035119862706,296,74,False,False,False
blur,Blur,3,blur_L3,"{""sigma"": 1.5}",script26a_restored_original_range,74,0.7980560876445262,0.1750595326638792,0.0980950742573186,0.1425480723843898,0.6929879914328949,0.2039493111408753,0.1255684430974629,0.1540251791696444,0.7563323450071004,0.1981809384076335,0.0906254142946936,0.1440204406328324,0.6427354245527472,0.2228791964899882,0.1135313506838069,0.1498370508512908,0.6450163280354643,0.2568785202940158,0.0966870908569671,0.0909158205192696,0.5210162441225159,0.2441572513531305,0.1227768715346751,0.1012075760511807,125116.43243243244,99706.22972972972,27435.0,3.975262630831551,1.2356875486722267,0.0064026475773897,0.0023870735421386,0.0062875119037926,22.28412559821921,1.8528291504257528,22.01521181517757,296,74,False,False,False
blur,Blur,4,blur_L4,"{""sigma"": 2.0}",script26a_restored_original_range,74,0.7629928793049223,0.1949831876545065,0.1331582825969225,0.1626904265313318,0.6502559522557739,0.2172075308209889,0.1683004822745839,0.1704145039305799,0.7177044613760977,0.2151053880621412,0.1292532979256964,0.1685324879434363,0.5974408261537306,0.2310581953863268,0.1588259490828236,0.1710614307399054,0.6125575698558976,0.2562890742468166,0.1291458490365337,0.1142586709196868,0.483895537858544,0.2358850460065668,0.1598975777986469,0.1211181113952831,135543.66216216216,99706.22972972972,37862.22972972973,3.956854761175408,1.36438755791735,0.0089888474243265,0.0031683309885377,0.0086746173910796,20.77671860014864,1.76150832709803,20.61749780267099,296,74,True,True,True
blur,Blur,5,blur_L5,"{""sigma"": 2.5}",script26a_restored_original_range,74,0.7323845768283637,0.2071120445088707,0.1637665850734813,0.1756013719083271,0.6134553287321104,0.2236509025133351,0.2051011057982475,0.1798777529962394,0.6823324056295956,0.2279145653569303,0.1646253536721983,0.1885624630815814,0.5575307931550431,0.2356960887854975,0.1987359820815112,0.1874427724281663,0.5871281478634561,0.2542519728634903,0.1545752710289753,0.1287099108817893,0.4554343472318164,0.2275989027119292,0.1883587684253742,0.1341938188892691,145624.04054054053,99706.22972972972,47942.60810810811,3.967330465370135,1.4728941164054985,0.0113395068576603,0.0038694015106573,0.011083104647696,19.74670102519668,1.69751399213873,19.55338595258332,296,74,True,True,True
blur,Blur,6,blur_L6,"{""sigma"": 3.0}",script26a_restored_original_range,74,0.7036935262517132,0.2145277206796972,0.1924576356501316,0.183839104477997,0.5793777675938483,0.2260782259326047,0.2391786669365095,0.18485669658209,0.652309939770927,0.2356048331879494,0.194647819530867,0.2003454826425445,0.5243223642447233,0.2366656508370311,0.2319444109918309,0.1957023691089891,0.5659490799570845,0.2508688250343407,0.1757543389353467,0.1358348437358508,0.4321418745645534,0.2200102225703333,0.2116512410926374,0.1408511897937851,155794.01351351352,99706.22972972972,58112.58108108108,3.915312801563256,1.583545273673293,0.0134633278334198,0.0044980251885273,0.0132136209867894,18.986159809328967,1.6480403573444524,18.78978578524553,296,74,True,True,True
blur,Blur,7,blur_L7,"{""sigma"": 3.5}",script26a_restored_original_range,74,0.6742465177053227,0.219236524724039,0.2219046441965221,0.1892049536362997,0.5451062577422985,0.2263057383105279,0.2734501767880594,0.187504783829453,0.6194184743093686,0.2416621226497289,0.2275392849924254,0.2085368901191286,0.4890286599723129,0.2366751430286673,0.2672381152642413,0.2006015217795124,0.5465313026874845,0.247816193079175,0.1951721162049469,0.1405411414940423,0.4114643029204698,0.2133653942114988,0.232328812736721,0.144988656509235,167214.3918918919,99706.22972972972,69532.95945945945,3.9682583876860313,1.6821026190410595,0.0153917261372584,0.0050591327616671,0.014827896375209,18.39305563430209,1.6071493148449547,18.289204799504315,296,74,True,True,True
blur,Blur,8,blur_L8,"{""sigma"": 4.0}",script26a_restored_original_range,74,0.6447698154957686,0.2229551657319294,0.2513813464060764,0.1935707388511803,0.5120722660282195,0.2261463028503346,0.3064841685021383,0.1898335562806366,0.5844718751972009,0.2470995104129284,0.2624858841045931,0.2183807109525217,0.4531139869520215,0.2364500874552226,0.3031527882845327,0.2085788242058851,0.5261306434682181,0.2449524068869705,0.2155727754242132,0.1432344939644034,0.3905604894432944,0.2074232863369299,0.2532326262138964,0.1476852734152152,179593.75675675675,99706.22972972972,81912.32432432432,3.947834622870024,1.7732210120035183,0.0171622763493261,0.0055630109236441,0.0164989968761801,17.91048016038472,1.572463442487853,17.825461078315087,296,74,True,True,True
blur,Blur,9,blur_L9,"{""sigma"": 4.5}",script26a_restored_original_range,74,0.6181015439526536,0.2257901139123259,0.2780496179491914,0.1972821860474528,0.4831676305677743,0.2250245055949998,0.3353888039625837,0.1911360699236202,0.5514359528840118,0.2501165939982024,0.2955218064177823,0.2275760019771523,0.4201448316127079,0.2346067706609437,0.3361219436238464,0.2169433142566054,0.5043472068328245,0.2426521834577824,0.2373562120596068,0.1453755523392598,0.3692477543389701,0.2026194351438963,0.2745453613182207,0.150011642998278,192033.85135135136,99706.22972972972,94352.41891891892,3.894851835897645,1.896896604876462,0.0188091054985085,0.006022006622245,0.0181027669459581,17.50443035696539,1.542930113325061,17.422556079564714,296,74,True,True,True
blur,Blur,10,blur_L10,"{""sigma"": 5.0}",script26a_restored_original_range,74,0.5937566335978335,0.227951456338234,0.3023945283040114,0.2000154758262366,0.4575353876987163,0.223162363640805,0.3610210468316415,0.1909874049601139,0.5224513260965724,0.2516908162969164,0.3245064332052217,0.2345123193952277,0.3920082617920916,0.2314167651931908,0.3642585134444627,0.2226230306861,0.4818288102670882,0.2431241551583476,0.2598746086253432,0.1517101692170697,0.3484997317210743,0.1993514452199104,0.2952933839361165,0.1545068931860772,204443.95945945947,99706.22972972972,106762.52702702704,3.9504796649153167,1.998509000886131,0.0203598378150648,0.0064475322287553,0.0198123976588249,17.153582763000916,1.5179022236227384,17.0306304044672,296,74,True,True,True
