condition,patch_dice_WT,heatmap_correlation,centroid_shift,available_gradcam,model
blur_L10,0.658652571188022,0.6368944504629662,5.415904340400894,5,Custom 3D U-Net
blur_L3,0.8352703691385566,0.9129933248884106,2.0822302191105324,5,Custom 3D U-Net
blur_L4,0.807352899451268,0.8706083623390365,2.6090777043664257,5,Custom 3D U-Net
clean,0.8654320544186167,1.0,0.0,5,Custom 3D U-Net
contrast_L10,0.8644004367188429,0.9887370684246184,0.6765941867085064,5,Custom 3D U-Net
ghosting_L10,0.5174071574602493,0.23554914787508885,19.03682091647864,5,Custom 3D U-Net
ghosting_L4,0.8169378946741457,0.8914317348816017,4.279388340423606,5,Custom 3D U-Net
ghosting_L5,0.7797980040033898,0.8117915115001388,7.211901821556036,5,Custom 3D U-Net
noise_L10,0.36049024255579776,0.19615842999209038,17.543060842762905,5,Custom 3D U-Net
noise_L6,0.8107025299147594,0.9170528944406111,3.4660376532075796,5,Custom 3D U-Net
noise_L7,0.7659959237250691,0.8150786264283816,5.196427260985585,5,Custom 3D U-Net
ringing_L10,0.5749569634895197,0.4324730556278743,7.892388473061354,5,Custom 3D U-Net
ringing_L7,0.85706392297662,0.9463360809652539,1.4488553386301366,5,Custom 3D U-Net
ringing_L8,0.8109859145879927,0.8509683934036207,2.4610885446504,5,Custom 3D U-Net
clean,0.8808146242167112,1.0,0.0,5,nnU-Net v2
blur_L3,0.8617604180232303,0.9506688780391532,7.946810014359049,5,nnU-Net v2
blur_L4,0.8361697201136439,0.9247136315675644,8.401149246014764,5,nnU-Net v2
blur_L10,0.6718699926079297,0.7164991545529864,14.403425841740193,5,nnU-Net v2
ghosting_L4,0.8751386910035766,0.929691306857727,4.322747164190555,5,nnU-Net v2
ghosting_L5,0.8474192742990881,0.8830698470206435,7.1185747418178895,5,nnU-Net v2
ghosting_L10,0.4703282739429822,0.3885279986033418,19.40913951286197,5,nnU-Net v2
noise_L6,0.8764477371080179,0.9702719749989168,3.770839028343129,5,nnU-Net v2
noise_L7,0.8643239404583023,0.9587160933374684,4.748068733355023,5,nnU-Net v2
noise_L10,0.7662931621249431,0.8499934799984903,7.141377756721118,5,nnU-Net v2
ringing_L7,0.8679549729134651,0.957601810983514,7.269328459223901,5,nnU-Net v2
ringing_L8,0.8217342492005748,0.8965208496787815,7.5247500122090525,5,nnU-Net v2
ringing_L10,0.5707742050857714,0.5717865879030797,13.946702349982331,5,nnU-Net v2
contrast_L10,0.8924712389183933,0.9899322148043266,1.5967663939192491,5,nnU-Net v2
clean,0.861500869401857,1.0,0.0,5,Swin-UNETR
blur_L3,0.8101623311579091,0.7655370681222439,8.855573603311939,5,Swin-UNETR
blur_L4,0.7867770358450399,0.7188705005567508,9.93786886363143,5,Swin-UNETR
blur_L10,0.6466643922517086,0.5030974427966514,12.378030911450384,5,Swin-UNETR
ghosting_L4,0.837689802853693,0.7110614087293439,11.680982066828973,5,Swin-UNETR
ghosting_L5,0.7798690221755143,0.636412335694771,13.455221907701382,5,Swin-UNETR
ghosting_L10,0.4413036059603167,-0.033586967156722,28.05570030564368,5,Swin-UNETR
noise_L6,0.7514341492395935,0.5400196083512807,10.424243396206538,5,Swin-UNETR
noise_L7,0.6157587965017571,0.4861417181285727,11.079300759339214,5,Swin-UNETR
noise_L10,0.0368188887446988,-0.0396902720964694,17.300398530171165,4,Swin-UNETR
ringing_L7,0.8355480138807774,0.7932644882755899,7.894719450736138,5,Swin-UNETR
ringing_L8,0.7726187540108334,0.7125866409319996,10.085144369548598,5,Swin-UNETR
ringing_L10,0.5675235338144398,0.0649295208720972,19.21121957596528,5,Swin-UNETR
contrast_L10,0.8633592544075637,0.8814855566242269,5.589456325884629,5,Swin-UNETR
