artifact,report_artifact,level,condition,parameters,degradation_pipeline,num_patients,dice_WT_mean,dice_WT_sd,dice_WT_drop_mean,dice_WT_drop_sd,iou_WT_mean,iou_WT_sd,iou_WT_drop_mean,iou_WT_drop_sd,dice_TC_mean,dice_TC_sd,dice_TC_drop_mean,dice_TC_drop_sd,iou_TC_mean,iou_TC_sd,iou_TC_drop_mean,iou_TC_drop_sd,dice_ET_mean,dice_ET_sd,dice_ET_drop_mean,dice_ET_drop_sd,iou_ET_mean,iou_ET_sd,iou_ET_drop_mean,iou_ET_drop_sd,pred_WT_voxels_mean,true_WT_voxels_mean,pred_WT_voxels_change_mean,inference_seconds_mean,degradation_seconds_mean
blur,Blur,1,blur_L1,"{""sigma"": 0.5}",script26a_restored_original_range,74,0.8868139069145576,0.0773997137538668,0.00933725498728714,0.03510809569961638,0.8045191219391212,0.1151876564626226,0.014037312591236733,0.04888656186897243,0.8386384143546031,0.15135341446051054,0.008319344947191018,0.06886377736876234,0.7458957866914947,0.18704479273298477,0.010370988545059532,0.07258030227326343,0.7271192963276024,0.26251010488985693,0.014584122564828985,0.03338078060799198,0.6237956414016285,0.2627219409877584,0.019997474255562493,0.040055556524491394,103663.5945945946,99706.22972972973,5982.1621621621625,3.9271096074450256,1.0305097672484211
blur,Blur,2,blur_L2,"{""sigma"": 1.0}",script26a_restored_original_range,74,0.8421999249741082,0.13788146333808524,0.05395123692773661,0.10631410764606579,0.7474206820904739,0.17234007837124293,0.07113575243988395,0.11954477864949191,0.8024302534607342,0.17019002552287152,0.04452750584105993,0.10069611024707655,0.6980822253776151,0.20274944571671347,0.05818454985893908,0.10875336121644176,0.6858135891948262,0.25800137748626184,0.05588982969760512,0.05955954560649828,0.5699092702868322,0.25222511007547915,0.07388384537035868,0.07284957220628761,113779.77027027027,99706.22972972973,16098.337837837838,3.9191067909469477,1.1334356424725942
blur,Blur,3,blur_L3,"{""sigma"": 1.5}",script26a_restored_original_range,74,0.7980560876445262,0.17505953266387927,0.09809507425731867,0.14254807238438988,0.6929879914328949,0.20394931114087533,0.12556844309746293,0.15402517916964448,0.7563323450071004,0.19818093840763357,0.09062541429469367,0.14402044063283242,0.6427354245527472,0.22287919648998822,0.11353135068380699,0.14983705085129084,0.6450163280354643,0.2568785202940158,0.09668709085696713,0.0909158205192696,0.5210162441225159,0.24415725135313052,0.12277687153467513,0.1012075760511807,125116.43243243243,99706.22972972973,27435.0,3.975262630831551,1.2356875486722267
blur,Blur,4,blur_L4,"{""sigma"": 2.0}",script26a_restored_original_range,74,0.7629928793049223,0.1949831876545065,0.13315828259692256,0.1626904265313318,0.6502559522557739,0.21720753082098898,0.16830048227458397,0.1704145039305799,0.7177044613760977,0.2151053880621412,0.1292532979256964,0.16853248794343634,0.5974408261537306,0.23105819538632688,0.1588259490828236,0.17106143073990546,0.6125575698558976,0.25628907424681663,0.12914584903653378,0.11425867091968682,0.483895537858544,0.23588504600656687,0.1598975777986469,0.12111811139528317,135543.66216216216,99706.22972972973,37862.22972972973,3.9568547611754084,1.3643875579173501
blur,Blur,5,blur_L5,"{""sigma"": 2.5}",script26a_restored_original_range,74,0.7323845768283637,0.20711204450887075,0.1637665850734813,0.17560137190832711,0.6134553287321104,0.2236509025133351,0.2051011057982475,0.17987775299623943,0.6823324056295956,0.2279145653569303,0.1646253536721983,0.18856246308158148,0.5575307931550431,0.23569608878549753,0.1987359820815112,0.18744277242816632,0.5871281478634561,0.2542519728634903,0.15457527102897534,0.1287099108817893,0.4554343472318164,0.22759890271192929,0.18835876842537427,0.13419381888926918,145624.04054054053,99706.22972972973,47942.60810810811,3.967330465370135,1.4728941164054983
blur,Blur,6,blur_L6,"{""sigma"": 3.0}",script26a_restored_original_range,74,0.7036935262517132,0.21452772067969728,0.19245763565013166,0.18383910447799706,0.5793777675938483,0.2260782259326047,0.23917866693650955,0.18485669658209,0.652309939770927,0.23560483318794945,0.19464781953086707,0.2003454826425445,0.5243223642447233,0.23666565083703114,0.23194441099183097,0.1957023691089891,0.5659490799570845,0.2508688250343407,0.17575433893534678,0.13583484373585084,0.43214187456455344,0.22001022257033337,0.21165124109263742,0.1408511897937851,155794.01351351352,99706.22972972973,58112.58108108108,3.9153128015632563,1.5835452736732927
blur,Blur,7,blur_L7,"{""sigma"": 3.5}",script26a_restored_original_range,74,0.6742465177053227,0.21923652472403904,0.22190464419652217,0.18920495363629974,0.5451062577422985,0.2263057383105279,0.2734501767880594,0.18750478382945304,0.6194184743093686,0.24166212264972892,0.2275392849924254,0.20853689011912865,0.4890286599723129,0.23667514302866738,0.26723811526424135,0.20060152177951246,0.5465313026874845,0.24781619307917505,0.1951721162049469,0.14054114149404234,0.4114643029204698,0.2133653942114988,0.23232881273672107,0.144988656509235,167214.3918918919,99706.22972972973,69532.95945945945,3.9682583876860305,1.6821026190410595
blur,Blur,8,blur_L8,"{""sigma"": 4.0}",script26a_restored_original_range,74,0.6447698154957686,0.22295516573192947,0.2513813464060764,0.19357073885118037,0.5120722660282195,0.2261463028503346,0.30648416850213833,0.1898335562806366,0.5844718751972009,0.2470995104129284,0.26248588410459317,0.21838071095252173,0.45311398695202154,0.23645008745522267,0.3031527882845327,0.20857882420588514,0.5261306434682181,0.24495240688697054,0.21557277542421327,0.14323449396440346,0.39056048944329447,0.20742328633692997,0.2532326262138964,0.14768527341521523,179593.75675675675,99706.22972972973,81912.32432432432,3.9478346228700234,1.7732210120035183
blur,Blur,9,blur_L9,"{""sigma"": 4.5}",script26a_restored_original_range,74,0.6181015439526536,0.22579011391232598,0.2780496179491914,0.1972821860474528,0.4831676305677743,0.22502450559499987,0.3353888039625837,0.19113606992362026,0.5514359528840118,0.25011659399820246,0.29552180641778236,0.22757600197715236,0.4201448316127079,0.23460677066094376,0.3361219436238464,0.21694331425660543,0.5043472068328245,0.2426521834577824,0.23735621205960689,0.1453755523392598,0.36924775433897017,0.20261943514389638,0.27454536131822077,0.15001164299827802,192033.85135135136,99706.22972972973,94352.41891891892,3.8948518358976454,1.896896604876462
blur,Blur,10,blur_L10,"{""sigma"": 5.0}",script26a_restored_original_range,74,0.5937566335978335,0.22795145633823402,0.3023945283040114,0.20001547582623666,0.4575353876987163,0.22316236364080508,0.3610210468316415,0.1909874049601139,0.5224513260965724,0.2516908162969164,0.32450643320522177,0.2345123193952277,0.3920082617920916,0.2314167651931908,0.3642585134444627,0.22262303068610007,0.4818288102670882,0.24312415515834765,0.25987460862534323,0.1517101692170697,0.34849973172107435,0.19935144521991044,0.29529338393611654,0.15450689318607722,204443.95945945947,99706.22972972973,106762.52702702703,3.9504796649153167,1.998509000886131
ghosting,Ghosting,1,ghosting_L1,"{""intensity"": 0.15, ""num_repeats"": 4}",script26a_restored_original_range,74,0.8902314492832974,0.07220323661803073,0.00591971261854752,0.031013205306057463,0.8090745557601378,0.1078594959809463,0.009481878770220083,0.0424107863150048,0.8452188385385094,0.14217235154465865,0.0017389207632847856,0.045861238630040026,0.753606469515808,0.18017804355551412,0.002660305720746245,0.05245593856867029,0.739585815080927,0.26229079653718734,0.002117603811504372,0.02481744093050944,0.6398718191924762,0.2629849340609899,0.003921296464714697,0.029169751331024344,102061.7972972973,99706.22972972973,4380.364864864865,3.0106552157651736,1.1835399352869875
ghosting,Ghosting,2,ghosting_L2,"{""intensity"": 0.25, ""num_repeats"": 8}",script26a_restored_original_range,74,0.8794924145402089,0.08083315741573006,0.016658747361636292,0.05024627385305843,0.7931519688729692,0.11633782573045612,0.025404465657388683,0.06576300329137924,0.8423680969304174,0.1391622071342779,0.004589662371376747,0.047386117670584885,0.7485346424212022,0.17749252794652737,0.0077321328153522,0.05636332162379947,0.7395086254747139,0.25993379098366465,0.0021947934177174947,0.031883848861456336,0.6385684190229821,0.2594255540291265,0.005224696634208844,0.035942676500996515,104979.5945945946,99706.22972972973,7298.1621621621625,3.1051183683747374,1.3957450147214774
ghosting,Ghosting,3,ghosting_L3,"{""intensity"": 0.35, ""num_repeats"": 12}",script26a_restored_original_range,74,0.8574786992583123,0.09940130953079068,0.038672462643532614,0.07625463606785543,0.7618750580489686,0.13317455431547742,0.05668137648138927,0.09548266736489797,0.8329741572502798,0.14161049430428405,0.013983602051514282,0.05735698861457779,0.7350909178871712,0.1796157172601139,0.02117585734938311,0.06973464711921781,0.7353442512234079,0.25803954966282017,0.00635916766902349,0.04805401450615951,0.6319428786521053,0.2550907863450995,0.011850237005085602,0.05219956245118206,109919.85135135135,99706.22972972973,12238.418918918918,3.0744091386126504,1.6119987935935323
