condition,artifact,level,num_test_patients,clean_dice_WT,degraded_dice_WT,drop_dice_WT,clean_iou_WT,degraded_iou_WT,drop_iou_WT,clean_dice_TC,degraded_dice_TC,drop_dice_TC,clean_iou_TC,degraded_iou_TC,drop_iou_TC,clean_dice_ET,degraded_dice_ET,drop_dice_ET,clean_iou_ET,degraded_iou_ET,drop_iou_ET,clean_dice_class_1,degraded_dice_class_1,drop_dice_class_1,clean_iou_class_1,degraded_iou_class_1,drop_iou_class_1,clean_dice_class_2,degraded_dice_class_2,drop_dice_class_2,clean_iou_class_2,degraded_iou_class_2,drop_iou_class_2,clean_dice_class_3,degraded_dice_class_3,drop_dice_class_3,clean_iou_class_3,degraded_iou_class_3,drop_iou_class_3,clean_pred_WT_voxels,degraded_pred_WT_voxels,clean_true_WT_voxels,degraded_true_WT_voxels
blur_L1,blur,1,74,0.9124602001608301,0.9172153549411838,-0.00475515478035371,0.8461928394606912,0.8531121982624077,-0.0069193588017164576,0.8844378949401662,0.8865009372364733,-0.0020630422963070494,0.8086667324639445,0.8113688785449166,-0.0027021460809720788,0.8185845341459236,0.8170689073826946,0.0015156267632290277,0.7283002312497782,0.7269405772804733,0.0013596539693048193,0.7224772044649299,0.7200896834584878,0.002387521006442128,0.60882404700863,0.6079481583343661,0.0008758886742639138,0.7914856105416951,0.7967656448496102,-0.005280034307915127,0.6843923936650834,0.6909503319022197,-0.0065579382371362405,0.8185845341459236,0.8170689073826946,0.0015156267632290277,0.7283002312497782,0.7269405772804733,0.0013596539693048193,93225.24324324324,94653.83783783784,99706.22972972973,99706.22972972973
blur_L2,blur,2,74,0.9124602001608301,0.9162473719241698,-0.0037871717633397584,0.8461928394606912,0.8509056828697562,-0.004712843409064971,0.8844378949401662,0.8839730189419139,0.00046487599825228987,0.8086667324639445,0.8066881758528038,0.0019785566111406583,0.8185845341459236,0.8025664784308587,0.01601805571506487,0.7283002312497782,0.7062184996941063,0.022081731555671835,0.7224772044649299,0.7028265752345124,0.019650629230417493,0.60882404700863,0.5889854385015698,0.019838608507060207,0.7914856105416951,0.793355042541496,-0.0018694319998009412,0.6843923936650834,0.6849398347058427,-0.0005474410407593222,0.8185845341459236,0.8025664784308587,0.01601805571506487,0.7283002312497782,0.7062184996941063,0.022081731555671835,93225.24324324324,95462.58108108108,99706.22972972973,99706.22972972973
blur_L3,blur,3,74,0.9124602001608301,0.9096603900335348,0.0027998101272952436,0.8461928394606912,0.8394530968909282,0.006739742569763063,0.8844378949401662,0.8687409271561098,0.01569696778405638,0.8086667324639445,0.782617583304761,0.026049149159183438,0.8185845341459236,0.7953020430208235,0.023282491125100058,0.7283002312497782,0.6862359918283168,0.042064239421461314,0.7224772044649299,0.6527985498164476,0.06967865464848233,0.60882404700863,0.5343878937011581,0.07443615330747189,0.7914856105416951,0.777669939702643,0.013815670839052108,0.6843923936650834,0.6614623484892833,0.022930045175800107,0.8185845341459236,0.7953020430208235,0.023282491125100058,0.7283002312497782,0.6862359918283168,0.042064239421461314,93225.24324324324,97969.7972972973,99706.22972972973,99706.22972972973
blur_L4,blur,4,74,0.9124602001608301,0.895324971808355,0.01713522835247505,0.8461928394606912,0.8162203756856939,0.029972463774997293,0.8844378949401662,0.8426619288625179,0.04177596607764833,0.8086667324639445,0.7449087490051908,0.06375798345875372,0.8185845341459236,0.7545580193139932,0.06402651483193034,0.7283002312497782,0.6329774908906666,0.09532274035911159,0.7224772044649299,0.5865754470735287,0.1359017573914012,0.60882404700863,0.46879314335808275,0.14003090365054727,0.7914856105416951,0.7478947763842708,0.04359083415742426,0.6843923936650834,0.6208373975815856,0.0635549960834978,0.8185845341459236,0.7545580193139932,0.06402651483193034,0.7283002312497782,0.6329774908906666,0.09532274035911159,93225.24324324324,101579.25675675676,99706.22972972973,99706.22972972973
blur_L5,blur,5,74,0.9124602001608301,0.8770443171235708,0.03541588303725929,0.8461928394606912,0.7880501256707958,0.05814271378989544,0.8844378949401662,0.8183672875681707,0.06607060737199555,0.8086667324639445,0.709679161384239,0.09898757107970546,0.8185845341459236,0.7180374318998632,0.10054710224606034,0.7283002312497782,0.587592924553998,0.14070730669578013,0.7224772044649299,0.5299788952089263,0.19249830925600364,0.60882404700863,0.4150239715770448,0.19380007543158523,0.7914856105416951,0.7128863986427573,0.07859921189893782,0.6843923936650834,0.5765203453568957,0.10787204830818775,0.8185845341459236,0.7180374318998632,0.10054710224606034,0.7283002312497782,0.587592924553998,0.14070730669578013,93225.24324324324,105323.25675675676,99706.22972972973,99706.22972972973
contrast_L1,contrast,1,74,0.9124602001608301,0.9161109356781754,-0.0036507355173452938,0.8461928394606912,0.8515074080513496,-0.005314568590658375,0.8844378949401662,0.8856414874397713,-0.0012035924996051106,0.8086667324639445,0.8101436409977117,-0.0014769085337672516,0.8185845341459236,0.817486143289361,0.0010983908565626033,0.7283002312497782,0.7275298282976169,0.0007704029521612421,0.7224772044649299,0.7207043781867771,0.0017728262781527837,0.60882404700863,0.608099588549859,0.0007244584587710046,0.7914856105416951,0.7956118926943546,-0.004126282152659533,0.6843923936650834,0.6894714121625648,-0.00507901849748138,0.8185845341459236,0.817486143289361,0.0010983908565626033,0.7283002312497782,0.7275298282976169,0.0007704029521612421,93225.24324324324,94379.35135135135,99706.22972972973,99706.22972972973
contrast_L2,contrast,2,74,0.9124602001608301,0.9161164794183684,-0.0036562792575383085,0.8461928394606912,0.8515182949583392,-0.005325455497647957,0.8844378949401662,0.8856843253864521,-0.0012464304462859177,0.8086667324639445,0.8102108226543632,-0.0015440901904186788,0.8185845341459236,0.8174144599460528,0.0011700741998708075,0.7283002312497782,0.7274275397396746,0.000872691510103607,0.7224772044649299,0.7207479296053572,0.0017292748595727492,0.60882404700863,0.6081712975161525,0.0006527494924775112,0.7914856105416951,0.7956467784489928,-0.004161167907297703,0.6843923936650834,0.6895345970157513,-0.00514220335066784,0.8185845341459236,0.8174144599460528,0.0011700741998708075,0.7283002312497782,0.7274275397396746,0.000872691510103607,93225.24324324324,94373.35135135135,99706.22972972973,99706.22972972973
contrast_L3,contrast,3,74,0.9124602001608301,0.9161555176066397,-0.0036953174458096427,0.8461928394606912,0.8515850820192228,-0.005392242558531546,0.8844378949401662,0.8856502090205804,-0.001212314080414223,0.8086667324639445,0.8101413657010399,-0.0014746332370954018,0.8185845341459236,0.8172291976483914,0.001355336497532167,0.7283002312497782,0.7271510222270264,0.0011492090227517293,0.7224772044649299,0.7206357616578938,0.001841442807036131,0.60882404700863,0.6080361548466546,0.0007878921619753898,0.7914856105416951,0.7956781114069935,-0.004192500865298432,0.6843923936650834,0.6895881971241301,-0.005195803459046688,0.8185845341459236,0.8172291976483914,0.001355336497532167,0.7283002312497782,0.7271510222270264,0.0011492090227517293,93225.24324324324,94357.22972972973,99706.22972972973,99706.22972972973
contrast_L4,contrast,4,74,0.9124602001608301,0.9162429631363759,-0.003782762975545806,0.8461928394606912,0.8517278457001335,-0.005535006239442253,0.8844378949401662,0.8855059516871127,-0.001068056746946433,0.8086667324639445,0.8098769757854432,-0.0012102433214986608,0.8185845341459236,0.8168348608136831,0.00174967333224052,0.7283002312497782,0.7265839537477925,0.0017162775019856635,0.7224772044649299,0.720146715991407,0.002330488473522907,0.60882404700863,0.6074206053044959,0.0014034417041340896,0.7914856105416951,0.795653891435943,-0.004168280894247922,0.6843923936650834,0.6895598808345844,-0.005167487169500995,0.8185845341459236,0.8168348608136831,0.00174967333224052,0.7283002312497782,0.7265839537477925,0.0017162775019856635,93225.24324324324,94326.97297297297,99706.22972972973,99706.22972972973
contrast_L5,contrast,5,74,0.9124602001608301,0.9164029102761604,-0.003942710115330317,0.8461928394606912,0.851971967868906,-0.0057791284082148175,0.8844378949401662,0.884883262189794,-0.0004453672496277372,0.8086667324639445,0.8088126737174336,-0.00014594125348910136,0.8185845341459236,0.8158265109132601,0.002758023232663498,0.7283002312497782,0.7251952172439677,0.0031050140058104247,0.7224772044649299,0.7186339194235725,0.003843285041357447,0.60882404700863,0.6056321432930886,0.0031919037155414554,0.7914856105416951,0.795254661652771,-0.0037690511110759495,0.6843923936650834,0.689026082396856,-0.004633688731772612,0.8185845341459236,0.8158265109132601,0.002758023232663498,0.7283002312497782,0.7251952172439677,0.0031050140058104247,93225.24324324324,94284.82432432432,99706.22972972973,99706.22972972973
