condition,artifact,level,num_test_patients,clean_dice_WT,degraded_dice_WT,drop_dice_WT,clean_iou_WT,degraded_iou_WT,drop_iou_WT,clean_dice_TC,degraded_dice_TC,drop_dice_TC,clean_iou_TC,degraded_iou_TC,drop_iou_TC,clean_dice_ET,degraded_dice_ET,drop_dice_ET,clean_iou_ET,degraded_iou_ET,drop_iou_ET,clean_dice_class_1,degraded_dice_class_1,drop_dice_class_1,clean_iou_class_1,degraded_iou_class_1,drop_iou_class_1,clean_dice_class_2,degraded_dice_class_2,drop_dice_class_2,clean_iou_class_2,degraded_iou_class_2,drop_iou_class_2,clean_dice_class_3,degraded_dice_class_3,drop_dice_class_3,clean_iou_class_3,degraded_iou_class_3,drop_iou_class_3,clean_pred_WT_voxels,degraded_pred_WT_voxels,clean_true_WT_voxels,degraded_true_WT_voxels
blur_L6,blur,6,74,0.9124602001608301,0.8527691149049861,0.05969108525584399,0.8461928394606912,0.754397867824099,0.09179497163659223,0.8844378949401662,0.7878684642076594,0.09656943073250679,0.8086667324639445,0.6703217969429478,0.1383449355209967,0.8185845341459236,0.6828540402473646,0.13573049389855896,0.7283002312497782,0.5472910633640753,0.18100916788570287,0.7224772044649299,0.48153923599712145,0.24093796846780846,0.60882404700863,0.36875574452629356,0.24006830248233646,0.7914856105416951,0.6720618019892388,0.11942380855245627,0.6843923936650834,0.529474033570121,0.1549183600949624,0.8185845341459236,0.6828540402473646,0.13573049389855896,0.7283002312497782,0.5472910633640753,0.18100916788570287,93225.24324324324,109242.85135135135,99706.22972972973,99706.22972972973
blur_L7,blur,7,74,0.9124602001608301,0.8301412219237411,0.082318978237089,0.8461928394606912,0.72375089680908,0.12244194265161124,0.8844378949401662,0.7599386794086518,0.12449921553151444,0.8086667324639445,0.6345987303920382,0.1740680020719063,0.8185845341459236,0.6418389528715708,0.1767455812743528,0.7283002312497782,0.5054507545506481,0.22284947669913002,0.7224772044649299,0.4379907759095392,0.2844864285553907,0.60882404700863,0.33037794967754497,0.27844609733108505,0.7914856105416951,0.6342460013191634,0.15723960922253166,0.6843923936650834,0.4880531059600203,0.19633928770506315,0.8185845341459236,0.6418389528715708,0.1767455812743528,0.7283002312497782,0.5054507545506481,0.22284947669913002,93225.24324324324,112959.22972972973,99706.22972972973,99706.22972972973
blur_L8,blur,8,74,0.9124602001608301,0.8086202653460071,0.10383993481482301,0.8461928394606912,0.6961225714167573,0.15007026804393397,0.8844378949401662,0.7286422657414584,0.15579562919870782,0.8086667324639445,0.5982731239169777,0.21039360854696676,0.8185845341459236,0.6040310195993547,0.2145535145465689,0.7283002312497782,0.4688766878893514,0.2594235433604268,0.7224772044649299,0.4030151416268657,0.3194620628380642,0.60882404700863,0.3008313341336492,0.3079927128749808,0.7914856105416951,0.601097528079716,0.19038808246197914,0.6843923936650834,0.4530375734528148,0.2313548202122686,0.8185845341459236,0.6040310195993547,0.2145535145465689,0.7283002312497782,0.4688766878893514,0.2594235433604268,93225.24324324324,116803.64864864865,99706.22972972973,99706.22972972973
blur_L9,blur,9,74,0.9124602001608301,0.788737483347234,0.12372271681359603,0.8461928394606912,0.670694612671819,0.17549822678887228,0.8844378949401662,0.6994522857181537,0.18498560922201257,0.8086667324639445,0.5668176467834617,0.2418490856804828,0.8185845341459236,0.5713327098139259,0.24725182433199766,0.7283002312497782,0.4388672424252078,0.28943298882457036,0.7224772044649299,0.3727101612495929,0.349767043215337,0.60882404700863,0.27678237019817736,0.33204167681045266,0.7914856105416951,0.5717110947525563,0.21977451578913876,0.6843923936650834,0.42300755068555795,0.26138484297952547,0.8185845341459236,0.5713327098139259,0.24725182433199766,0.7283002312497782,0.4388672424252078,0.28943298882457036,93225.24324324324,121649.81081081081,99706.22972972973,99706.22972972973
blur_L10,blur,10,74,0.9124602001608301,0.7682253434912977,0.1442348566695324,0.8461928394606912,0.6453815365203905,0.2008113029403007,0.8844378949401662,0.6747261183254317,0.2097117766147345,0.8086667324639445,0.5411419102940612,0.26752482216988327,0.8185845341459236,0.5465031453097307,0.27208138883619293,0.7283002312497782,0.41578247389739864,0.3125177573523795,0.7224772044649299,0.35013744765990273,0.3723397568050272,0.60882404700863,0.25964199835878315,0.34918204864984687,0.7914856105416951,0.544863276261444,0.24662233428025104,0.6843923936650834,0.3965258153267671,0.2878665783383163,0.8185845341459236,0.5465031453097307,0.27208138883619293,0.7283002312497782,0.41578247389739864,0.3125177573523795,93225.24324324324,126754.52702702703,99706.22972972973,99706.22972972973
ghosting_L6,ghosting,6,74,0.9124602001608301,0.8058835907898683,0.1065766093709618,0.8461928394606912,0.6834627689023137,0.16273007055837752,0.8844378949401662,0.8368653998034449,0.04757249513672135,0.8086667324639445,0.7443631006387711,0.0643036318251734,0.8185845341459236,0.7658243120961811,0.05276022204974251,0.7283002312497782,0.6578487543634204,0.07045147688635778,0.7224772044649299,0.6520277605203668,0.0704494439445631,0.60882404700863,0.5308969400457656,0.07792710696286442,0.7914856105416951,0.6308103690068434,0.1606752415348517,0.6843923936650834,0.48885065777932235,0.19554173588576107,0.8185845341459236,0.7658243120961811,0.05276022204974251,0.7283002312497782,0.6578487543634204,0.07045147688635778,93225.24324324324,119160.3918918919,99706.22972972973,99706.22972972973
ghosting_L7,ghosting,7,74,0.9124602001608301,0.7191724840469511,0.19328771611387896,0.8461928394606912,0.5740081266281479,0.2721847128325433,0.8844378949401662,0.7644264172018711,0.12001147773829512,0.8086667324639445,0.6548614332798397,0.1538052991841048,0.8185845341459236,0.6627900135705027,0.15579452057542087,0.7283002312497782,0.5420832495222937,0.18621698172748447,0.7224772044649299,0.5751085685624874,0.14736863590244254,0.60882404700863,0.45355058349599114,0.15527346351263888,0.7914856105416951,0.5276698427551447,0.26381576778655036,0.6843923936650834,0.38122255933948646,0.30316983432559697,0.8185845341459236,0.6627900135705027,0.15579452057542087,0.7283002312497782,0.5420832495222937,0.18621698172748447,93225.24324324324,136706.27027027027,99706.22972972973,99706.22972972973
ghosting_L8,ghosting,8,74,0.9124602001608301,0.5965580629358125,0.3159021372250176,0.8461928394606912,0.4423826400517033,0.40381019940898794,0.8844378949401662,0.6163752296750961,0.26806266526507017,0.8086667324639445,0.4840440450415867,0.3246226874223578,0.8185845341459236,0.48892633155242593,0.32965820259349765,0.7283002312497782,0.3674804797465789,0.3608197515031993,0.7224772044649299,0.4277496294461963,0.2947275750187336,0.60882404700863,0.3099229804261106,0.2989010665825194,0.7914856105416951,0.39346251592923065,0.39802309461246443,0.6843923936650834,0.2604383180998837,0.4239540755651997,0.8185845341459236,0.48892633155242593,0.32965820259349765,0.7283002312497782,0.3674804797465789,0.3608197515031993,93225.24324324324,162359.55405405405,99706.22972972973,99706.22972972973
ghosting_L9,ghosting,9,74,0.9124602001608301,0.5380524087434012,0.37440779141742886,0.8461928394606912,0.38544586522960017,0.46074697423109107,0.8844378949401662,0.49842388493399614,0.3860140100061701,0.8086667324639445,0.3620331955338344,0.4466335369301101,0.8185845341459236,0.35448230229911326,0.4641022318468103,0.7283002312497782,0.24977484676182338,0.4785253844879548,0.7224772044649299,0.31252509044077514,0.40995211402415477,0.60882404700863,0.20568097412297404,0.403143072885656,0.7914856105416951,0.32811339360398073,0.46337221693771435,0.6843923936650834,0.20795466245196645,0.47643773121311694,0.8185845341459236,0.35448230229911326,0.4641022318468103,0.7283002312497782,0.24977484676182338,0.4785253844879548,93225.24324324324,175702.7972972973,99706.22972972973,99706.22972972973
ghosting_L10,ghosting,10,74,0.9124602001608301,0.49178907981283065,0.4206711203479994,0.8461928394606912,0.3435434891683829,0.5026493502923084,0.8844378949401662,0.34867027025255837,0.5357676246876079,0.8086667324639445,0.23088344048083975,0.5777832919831047,0.8185845341459236,0.2017000147651486,0.616884519380775,0.7283002312497782,0.13803752917551992,0.5902627020742582,0.7224772044649299,0.21267776739262464,0.5097994370723052,0.60882404700863,0.13306553646100056,0.47575851054762947,0.7914856105416951,0.2858702955553293,0.5056153149863658,0.6843923936650834,0.1757589797186783,0.5086334139464052,0.8185845341459236,0.2017000147651486,0.616884519380775,0.7283002312497782,0.13803752917551992,0.5902627020742582,93225.24324324324,181167.36486486485,99706.22972972973,99706.22972972973
