experiment,artifact,artifact_display,level,condition,mse_mean,mse_std,mse_median,psnr_mean,psnr_std,psnr_median,n_measurements,n_patients
original_L1_L5,blur,Blur,1,blur_L1,0.0005571241416062,0.0002501564599926,0.0005200219165999,33.01556794353227,2.141971273209943,32.83978732676309,296,74
original_L1_L5,blur,Blur,2,blur_L2,0.0036110331860293,0.0014749375016168,0.003463351749815,24.8282538631119,1.987676258242996,24.605035119862706,296,74
original_L1_L5,blur,Blur,3,blur_L3,0.0064026475773897,0.0023870735421386,0.0062875119037926,22.28412559821921,1.8528291504257528,22.01521181517757,296,74
original_L1_L5,blur,Blur,4,blur_L4,0.0089888474243265,0.0031683309885377,0.0086746173910796,20.77671860014864,1.76150832709803,20.61749780267099,296,74
original_L1_L5,blur,Blur,5,blur_L5,0.0113395068576603,0.0038694015106573,0.011083104647696,19.74670102519668,1.69751399213873,19.55338595258332,296,74
blur_ghosting_extended_L6_L10,blur,Blur,6,blur_L6,0.013463327833419867,0.00449802518852738,0.013213620986789465,18.986159809328967,1.6480403573444524,18.789785785245535,296,74
blur_ghosting_extended_L6_L10,blur,Blur,7,blur_L7,0.015391726137258465,0.005059132761667171,0.014827896375209093,18.393055634302094,1.6071493148449547,18.289204799504315,296,74
blur_ghosting_extended_L6_L10,blur,Blur,8,blur_L8,0.017162276349326194,0.005563010923644142,0.016498996876180172,17.91048016038472,1.572463442487853,17.825461078315087,296,74
blur_ghosting_extended_L6_L10,blur,Blur,9,blur_L9,0.018809105498508574,0.006022006622245011,0.018102766945958138,17.50443035696539,1.542930113325061,17.422556079564714,296,74
blur_ghosting_extended_L6_L10,blur,Blur,10,blur_L10,0.020359837815064837,0.006447532228755305,0.01981239765882492,17.153582763000916,1.5179022236227384,17.0306304044672,296,74
original_L1_L5,ghosting,Ghosting,1,ghosting_L1,0.0013730063212672,0.0004994941794226,0.0012573208659887,28.916297312407018,1.6140391182069962,29.005541152639445,296,74
original_L1_L5,ghosting,Ghosting,2,ghosting_L2,0.0039967406235125,0.0014448633795121,0.0036774188047274,24.27251604896384,1.6048191194497476,24.34457399182403,296,74
original_L1_L5,ghosting,Ghosting,3,ghosting_L3,0.0079475952740255,0.0028718842450592,0.0073067510966211,21.286958272391377,1.6040571907407273,21.36275692760957,296,74
original_L1_L5,ghosting,Ghosting,4,ghosting_L4,0.0133234554920597,0.0048176403759751,0.012271970976144,19.04351880289593,1.6050266470814023,19.11085815985585,296,74
original_L1_L5,ghosting,Ghosting,5,ghosting_L5,0.0201968617148923,0.0073261469325398,0.0185754839330911,17.238633125254196,1.609822138468313,17.310604949690898,296,74
blur_ghosting_extended_L6_L10,ghosting,Ghosting,6,ghosting_L6,0.027914800690612883,0.010089754652585764,0.02571648173034191,15.831136627794805,1.604494795232314,15.897886729278435,296,74
blur_ghosting_extended_L6_L10,ghosting,Ghosting,7,ghosting_L7,0.03722264698857593,0.013457067211694243,0.03429478965699673,14.581543737132014,1.6048660569431894,14.64772184038764,296,74
blur_ghosting_extended_L6_L10,ghosting,Ghosting,8,ghosting_L8,0.04789325178638604,0.017312400236870067,0.044138072058558464,13.48679436383372,1.6046505635885966,13.551869451541265,296,74
