condition,n_cases,dice_WT_mean,iou_WT_mean,dice_TC_mean,iou_TC_mean,dice_ET_mean,iou_ET_mean,pred_WT_voxels_mean,true_WT_voxels_mean,dice_class_1_mean,iou_class_1_mean,dice_class_2_mean,iou_class_2_mean,dice_class_3_mean,iou_class_3_mean,level_num,dice_WT_drop,iou_WT_drop,dice_TC_drop,iou_TC_drop,dice_ET_drop,iou_ET_drop
clean,5,0.8868832379580462,0.8078335193631068,0.9034989574971007,0.8270230410399254,0.8278372632154747,0.7173881193281192,113763.4,125295.2,0.607569013174923,0.48082177022866485,0.8469178957908339,0.7494504943027268,0.8278372632154747,0.7173881193281192,,0.0,0.0,0.0,0.0,0.0,0.0
gibbs_L1,5,0.8930559561126726,0.8157719753638052,0.9090123234480643,0.8349092638646936,0.8174753204347274,0.7061105077907281,116339.6,125295.2,0.5961212719301052,0.47245060267581473,0.8556890081916567,0.7601416367565358,0.8174753204347274,0.7061105077907281,1.0,-0.006172718154626389,-0.007938456000698424,-0.0055133659509635224,-0.007886222824768141,0.010361942780747313,0.011277611537391041
gibbs_L2,5,0.8905813934990844,0.8125084565950468,0.9097976482865585,0.8360104437140651,0.8154919090468191,0.703816415042511,116426.2,125295.2,0.5958750565232975,0.4722154793240648,0.8527454383024029,0.7567333224433177,0.8154919090468191,0.703816415042511,2.0,-0.0036981555410381395,-0.004674937231940013,-0.006298690789457773,-0.008987402674139666,0.012345354168655565,0.013571704285608166
gibbs_L3,5,0.8882014634473416,0.8092079502501092,0.910687681225971,0.8372998248126524,0.8125330300043361,0.7002837013937441,116669.6,125295.2,0.5947269383820204,0.4711262645114199,0.8497907475344798,0.7530771881730379,0.8125330300043361,0.7002837013937441,3.0,-0.0013182254892953882,-0.001374430887002398,-0.00718872372887025,-0.010276783772727005,0.015304233211138607,0.017104417934375116
gibbs_L4,5,0.8851735680328892,0.804851630841066,0.9118598341771577,0.8390406465376674,0.8074861120460216,0.6942826685436552,117171.2,125295.2,0.590248959976944,0.4667833231347239,0.8459722359941815,0.7481981347634379,0.8074861120460216,0.6942826685436552,4.0,0.0017096699251570868,0.002981888522040732,-0.008360876680056917,-0.012017605497742001,0.020351151169453074,0.02310545078446402
gibbs_L5,5,0.8815121362099289,0.7994633010835429,0.9123705410421472,0.8396863639299912,0.7983827025685226,0.6830078750712452,118065.8,125295.2,0.5804476265379714,0.45734835769630794,0.841046323503222,0.7416238755764064,0.7983827025685226,0.6830078750712452,5.0,0.005371101748117391,0.008370218279563857,-0.008871583545046469,-0.012663322890065776,0.029454560646952066,0.034380244256874026
